1,Canada,Maple leaf country,https://anthonygiretti.blob.core.windows.net/countryflags/ca.png
2,USA,Federal republic of 50 states,https://anthonygiretti.blob.core.windows.net/countryflags/us.png
3,Mexico,"Land of deserts, forests and high mountains",https://anthonygiretti.blob.core.windows.net/countryflags/mx.png
4,France,Hexagon country,https://anthonygiretti.blob.core.windows.net/countryflags/fr.png
5,Germany,European country,https://anthonygiretti.blob.core.windows.net/countryflags/de.png
6,Italy,European country,https://anthonygiretti.blob.core.windows.net/countryflags/it.png
7,Spain,European country,https://anthonygiretti.blob.core.windows.net/countryflags/es.png
8,Portugal,European country,https://anthonygiretti.blob.core.windows.net/countryflags/pt.png
9,United Kingdom,European country,https://anthonygiretti.blob.core.windows.net/countryflags/gb.png
10,Switzerland,European country,https://anthonygiretti.blob.core.windows.net/countryflags/ch.png
